Item,Purpose,Source,Amount,Price,Subtotal,Total Spent (tax + shipping,Link
1/2 in. x 2 ft. x 4 ft. Sande Plywood,Material for the Drum,Home Depot,1,$27.26,,,https://www.homedepot.com/p/ProWood-1-2-in-x-2-ft-x-4-ft-Sande-Plywood-Project-Panel-109068/202093791?MERCH=REC-_-rv_typeahead_rr-_-202093791-_-1-_-n/a-_-n/a-_-n/a-_-n/a-_-n/a
Corner Brace,Joins stand of drum to drum pieces,Ace Hardware,1,$3.99,,,https://www.acehardware.com/departments/hardware/angles-braces-and-brackets/braces/5021689
2mm x 6mm neodymium magnets,joins lid of case to case,Aliexpress,1,$4.63,,,https://www.aliexpress.us/item/3256809168494688.html?spm=a2g0o.detail.0.0.781eNZGtNZGtSw&mp=1&pdp_npi=6%40dis%21USD%21USD%204.63%21USD%200.99%21%21USD%200.99%21%21%21%402103212517824403105903636e338f%2112000048850318300%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa&_randl_shipto=US
"M5, 12mm vibration isolators",helps prevent other piezos from triggering when hitting the drum,AMAZON,2,$36.00,,,https://www.amazon.com/dp/B07Z7GR4HW?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Piezo Sensors (Guitar Pickups),"Houses the RP2040, connects to switch PCBs ",Amazon,1,$6.99,,,https://www.amazon.com/dp/B0DYNKK6B6?ref=ppx_yo2ov_dt_b_fed_asin_title
"Assorted Nuts, Bolts, Washers",Joins everything together,Aliexpress,1,$14.97,,,https://www.aliexpress.us/item/3256807011368573.html?spm=a2g0o.detail.0.0.2dc4VvnBVvnBJx&mp=1&pdp_npi=6%40dis%21USD%21USD+14.97%21USD+4.38%21%21USD+4.38%21%21%21%402103212517824406459321722e338f%2112000039772607217%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa
"Neoprene Rubber Sheet 18x24"" x 1/2''",Sheet to cut drum head,Amazon,1,$34.19,,,https://www.amazon.com/dp/B01CUQ51L4?ref=ppx_yo2ov_dt_b_fed_asin_title
"Neoprene Rubber Ring 2"" x 10' x 1/2'",Makes ring for drum head,Amazon,1,$12.00,,,https://www.amazon.com/dp/B08LTJSTPT?ref=ppx_yo2ov_dt_b_fed_asin_title
Resistors 1MOHM,Used for the circut,Amazon,1,$4.99,,,https://www.amazon.com/California-JOS-Tolerance-Resistor-Resistance/dp/B0BDKV4X96?crid=259FJF4YBTLIK&dib=eyJ2IjoiMSJ9.aydQ7yHiQxcYP_FO1vu6rxeDJWgZ6bnxl53V-WGX-Y5obP4xU72OtpvZhGOerkWcpf7qYcDbozDeXeSe8vLGieoANZ4nwT3tX_aEfUXqPEx9AaXId88DXPotZxjmo96wHlS6P9clKuC5YxDg-zPIIlY-oQNGzOLSlMTGhObnes5JB22qNCmFVSPw5TioIGyl6Xveih3imq7Z1_JNwkHA8ReojUQ_YqO09S-wD4qgXyM.QLdeswtqNR-PbAAMhhd3puFoABbsSX3k7r10wWMoWeQ&dib_tag=se&keywords=1+m+ohm+resistor&qid=1777520161&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=1+m+ohm+%2Caps%2C248&sr=8-6
Jumper Cables,Used for the circut,Amazon,1,$6.98,,,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78?crid=2PW5PWBX79B6F&dib=eyJ2IjoiMSJ9.Y2NcodgeEmA9kI0kF8VTZ23za1JGvWOfuLzsoHXPCRorz43yNsBAZImZUbpBWFiZeq9-iCZTDuLD0nTeUU-SYJJc6WLHXKmIvRBjpLvxh8z5Zrb3X1kHRgzxqThnCPljNKvBn4JPLNI0nbkpxPkGJuTvo6ggswDdrDDAUl2D2rp3GVLtr9QVHuSgzrEiPWdDbL7KpON9iJmq0CIUA1sjlLUpfPQ9HdkrIyJBVllgBbpbzQukKpK8ksJkEcGxG1gShE1ZJKFju1PLWGhV3xnpu-pwuru-M-VHMfN1hMTC7oY.3MyY7yudLFet-0FOyg5Qr60J5fkHRsfMNQcl5Kks_vY&dib_tag=se&keywords=jumper+cable+set&qid=1777520108&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=jumper+cable+set%2Caps%2C161&sr=8-6
Arduino Leonardo,Used to control all components and circuts,Amazon,1,$23.80,,,https://www.amazon.com/Arduino-org-A000057-Arduino-Leonardo-Headers/dp/B008A36R2Y?crid=BQRK7TJKAZC2&dib=eyJ2IjoiMSJ9.jKH0utgoJgDCikRIzQVImI_6WJCN4uYOax_mcWEvPcE-guNj6nIkkDiuLPtOwytf3fmNy-N7xwViXPEL7dBmuOGkUY_XnNV_bW6LAGS8cjjq98jo2aEWxX5QNPyAr5hsKB9RD5tlz668ESMqId4B7kWGYXmireoVbMmBSuJcblzCLeQCzcaL_KT-CTvEAQh4Bd_FDSKsTmo-KpuDoXKWnOcz1WAoEhZg9ZppRKAXPjwYJu2YkeHrRDhVL4_S4-jZV7okoKkEOym-ZboIaR-4ybB41iBneJkbF_ffO0dPmv0.bgBm3TbieFCMmOY7A3STCqnl2HyEDEOYlOLCBex3tgo&dib_tag=se&keywords=arduino+leonardo&qid=1781944904&s=electronics&sprefix=arduino+leonardo%2Celectronics%2C155&sr=1-1
Lever Connectors,Used for the circut,Amazon,1,$4.99,,,https://www.amazon.com/Electrical-Connectors-Assortment-Combination-Disconnect/dp/B0FLXBDNXM?crid=21HJWK9C76KOW&dib=eyJ2IjoiMSJ9.K0-KpHPcEJ2x8AO6hQAQtKimkIG04T6WDGA1Fa1fyo4YtE6Z0y9hKbLh5-zJRChIdnoH4nceCZK7V7R5vnAXQf4PStrvHps9o3UoPRBvVbclxGQehB-ZGPRgAyFmoNzdQwyBBlib5XMP_UDBCuz6Yko_47ti1xB38pwpJ4ir5nRfUK57kmRtP33-0eqIJNrUb8taqpSzDf2ev4K8YuivBkIr9BuBScgn7F-p8okqIE8X5hjqUGj70doDtFQ3upjsxPX7nNoU85ylpvofO8hZ0Q_1GVR1G7XHe0mp8D7YWmM.OvSegt5FquND5fMeNA_l6o3h2aqrdRmdQkpYeN8ki2g&dib_tag=se&keywords=lever+connectors&qid=1782413963&s=industrial&sprefix=lever+connector%2Cindustrial%2C353&sr=1-7
Assorted Ferrules,attached to wires to connect them,Amazon,1,$4.99,,,https://www.amazon.com/Terminals-Electrical-Connector-Insulated-Industrial/dp/B0FLX94V9H?crid=SFSYF4XZ2QWI&dib=eyJ2IjoiMSJ9.RluDIMhg7U3s0__Tqt4427jiGPua37iYi8sumVwyJ0lk2sc9atua_7LDSDKO1bl5ZRZdGUvt5dXdl-Gw7EL7s97-rzDRkAB0OAz4BD3fbFnjJI6pqbi1yH84NtguncNN_S7IROyk48AjC2gLOmDP_HAYiUVV6G8TcJuzG4g-etNGUtatKI8hTuFZvAYK_Xtpwe1aSGl0sSxv1P2uMDmQePzkThIoVmn0CUWEJ2eT_l8.OIoF1b1RlxBzEDz6NC44rVDSoCwcNdEpcbfZReRewKY&dib_tag=se&keywords=ferrules&qid=1782414256&sprefix=ferrules+%2Caps%2C184&sr=8-16
Arduino Mega2560 R3,Used to control the menu,Aliexpress,1,$3.99,,,https://www.aliexpress.us/item/3256807774469671.html?spm=a2g0o.productlist.main.3.6fe0ynXSynXSZf&algo_pvid=d0cf52e3-cc66-4640-99ea-a437596726df&algo_exp_id=d0cf52e3-cc66-4640-99ea-a437596726df-2&pdp_ext_f=%7B%22order%22%3A%22793%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.99%213.99%21%21%2127.02%2127.02%21%402103212317824407956625871ea06c%2112000056423024902%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9dbed997%3Bm03_new_user%3A-29895&curPageLogUid=RsXzqR9qEMZX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007960784423%7C_p_origin_prod%3A
Elegoo White Filamente,Used as print mat,Amazon,1,$11.89,,,https://www.amazon.com/ELEGOO-Filament-Dimensional-Accuracy-Compatible/dp/B0BM7WZPXJ?dib=eyJ2IjoiMSJ9.OaoeNmJxllu0FXXaCi-E9qi8eXtq8iSiGJ2fEEJV5f1mmgy6Q_iDn6yUewWd2fJAeEixyKSL2dAD8cpBgxFw17LWxKp1RtD_syKcQO5XTO-wzLL4dDXmwNsvdnG-qzAJGRBpA18IKvPcugvp3XAK2eyaru1CwvUNPhap7qi5eIXVxSIuJu2ZB6HuNFLoSNiVYmJhgpwmn1N5pULDAPuIQP18OnpU5_HljS781GjY2Pg.So0p4CE8eELpX3xogPJdTUnUeP8j3GqjsAhHCjzKByk&dib_tag=se&keywords=pla%2Bfilament&qid=1782422694&sr=8-11&th=1
Assorted 22AWG wire,Used for connections,Amazon,1,$15.99,,,https://www.amazon.com/TUOFENG-Hookup-Wires-6-Different-Colored/dp/B07TX6BX47?crid=2609BZP4FUCWO&dib=eyJ2IjoiMSJ9.0is0xfeGIMj9TEgcksIBU_-rupqNV8MWK-X4DZhTOemUugSWfuJAApeJWbVc-ZVTlJpl7U_SPocYZNxjJOCJh0moqHzIOdl_Zi4B_bZjuwBmFs7bF8ScNaoaa7B0-aDwN2UwiqQL72KVqVh_0c86IQQDEOr6algaKhRtpBHkt5NgkJ97J_hSskUB3OXEMV4jhHl2y4-m2pJFNvZ7xgKMozUu6_i3Q5IzR1KvnwNUEgvNEzgvPPdDfVdIVcC1xbI3Jt2cLlVFlJiDJD43SCnklH51PmjFlB47q8VwxPSrgg4.e78RX2qLM5sOd-ZEPwEM292JMze23-fgfTEPbcO1qLo&dib_tag=se&keywords=22%2Bgauge%2Bwire&qid=1782422969&s=industrial&sprefix=22%2Bguage%2Bwir%2Cindustrial%2C261&sr=1-4&th=1
Electrical Tape,Sticking Piezos to wood and joining wires,Amazon,1,$2.98,,,https://www.amazon.com/dp/B001AXD0EY?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
OLED Display SSD1306,Used for menu system,Amazon,1,$9.99,,,https://www.amazon.com/dp/B0FSRQG23K?ref=ppx_yo2ov_dt_b_fed_asin_title
Joystick,Used to control menu,Aliexpress,1,$5.78,,,https://www.aliexpress.us/item/3256809168494688.html?spm=a2g0o.detail.0.0.781eNZGtNZGtSw&mp=1&pdp_npi=6%40dis%21USD%21USD%204.63%21USD%200.99%21%21USD%200.99%21%21%21%402103212517824403105903636e338f%2112000048850318300%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa&_randl_shipto=US
m3 wooden inserts,for inserting bolts into wood for case,Amazon,1,$5.79,,,https://www.amazon.com/uxcell-Threaded-Stainless-Mechanical-Equipment/dp/B0DP2RYR2M?crid=3OPP5H5S311SB&dib=eyJ2IjoiMSJ9.Tr0V7FaXI9liqKEjC6HaZR3gtEw1iR1wGRBV9rEnE0d-u1x0MBmOfg0bccWv8carwkJ0B4CNsy7GwX5BxZ-Md6FSET0J6oKqE6oMu62i7keC-yDw7wMPHSgwk4zNIMAfioB2_fe-d5E_1CDNAXqu30RrHkEm_CqA0GV4fPXjd6n3iQZR9nDzMIc1qlBF70fYLfLXBZSqSClHWlOtY20ayfXq5CPVEDfdYbqpsxG4lHc.vr5GWHmfDX8LsY12yXlmu7S7u6vqGkOdYH_wqsDnyPI&dib_tag=se&keywords=m3+wooden+inserts&qid=1782444166&sprefix=m3+wood+inse%2Caps%2C424&sr=8-6
DB107 Bridge rectifier,used for better signal processing,Amazon,1,$5.99,,,Tegg DB107 Bridge Rectifier 10PCS Electronic Silicon Diodes 1A 1000V 4-Pin Single Phase Diode Rectifier Bridge_AB: Amazon.com: Industrial & Scientific
Plastic bolts and nuts m3,for attaching parts to the case,Amazon,1,$7.99,,,https://www.amazon.com/QTEATAK-Plastic-Screws-Gasket-Assortment/dp/B0B17VVCMY?dib=eyJ2IjoiMSJ9.hLqSAKKAqtV_vPr_pjesEIMOpYx_8WL6PoEH7g2ioTobCvnyq9Df4ehcEGrpRqGXZciMOmQO4Dc5QZRI3MgALcLXYZXZQShPNN64RcE6yp9PXEVAzK-sdl_Tq-ImnvOYDSu4myMR9mcKcSHi74OUzzHSUVJqM7EZriANEtZatr-TB0ctSG62hREMSRo5J5lM0m_IXeVSQ8YHXYDFcm1ZilvbGovuKQzkklk_DgNtwok.n3Ss-bZtcApG-z2U9JguoG7IQH5lVRYxzlMAGGYVoc0&dib_tag=se&keywords=plastic%2Bscrews%2Band%2Bnuts&qid=1782443945&sr=8-18&th=1
Hot Glue Gun,Used to apply hot glue,Owned,1,,,,
Hot glue stick,Helps keep Piezos on wood,Owned,1,,,,
Super Glue (Cyanoacrylate),Helps join rubber ring to sheet,Owned,1,,,,
Soldering Iron,"Assembles the PCBs, can weld case to seal cracks",Owned,1,,,,
Solder,Use with soldering iron for components,Owned,1,,,,
Super Glue,Secures parts of the case to each other,Owned,1,,,,
3d Printer,Used to print case,Owned,1,,,,
CNC Mill,For Cutting Wood to shape,Outsourced (free),1,,,,
Sandpaper,For sanding wood,Owned,1,,,,
Hand Saw,For cutting wood,Owned,1,,,,
Wood Glue,For bonding wood,Owned,1,,,,
Scrap Wood,Spare wood for base making,Owned,1,,,,
Power Drill + bits,For drilling holes,Owned,1,,,,
,,,,,$256.17,$271.54,
